FTE_INF;IDDPTO;NOMBDEP;IDPROV;NOMBPROV;IDDIST;NOMBDIST;INCENDIO;ACTIVIDAD;ANNO;MES_N;MES_T;PATH_ROW;COORD_X;COORD_Y
DMERNT;18;MOQUEGUA;1801;MARISCAL NIETO;180105;SAN CRISTOBAL;SI;PTOS NUEVOS;2003;3;MARZO;25993;-70.71220984;-16.72855589
DMERNT;18;MOQUEGUA;1801;MARISCAL NIETO;180105;SAN CRISTOBAL;SI;PTOS NUEVOS;2008;10;OCTUBRE;25993;-70.71609522;-16.719292
DMERNT;18;MOQUEGUA;1801;MARISCAL NIETO;180105;SAN CRISTOBAL;SI;PTOS NUEVOS;2003;10;OCTUBRE;25993;-70.66785747;-16.71037679
DMERNT;18;MOQUEGUA;1801;MARISCAL NIETO;180105;SAN CRISTOBAL;SI;PTOS NUEVOS;2003;3;MARZO;25993;-70.73386294;-16.7082115
DMERNT;21;PUNO;2104;CHUCUITO;210403;HUACULLANI;SI;PTOS NUEVOS;2010;9;SETIEMBRE; ;-69.36717752;-16.62736388
DMERNT;21;PUNO;2104;CHUCUITO;210403;HUACULLANI;SI;PTOS NUEVOS;2013;10;OCTUBRE; ;-69.36156884;-16.56613348
DMERNT;21;PUNO;2104;CHUCUITO;210403;HUACULLANI;SI;PTOS NUEVOS;2013;10;OCTUBRE; ;-69.42105537;-16.56553861
DMERNT;4;AREQUIPA;401;AREQUIPA;40114;POLOBAYA;SI;PTOS NUEVOS;2002;8;AGOSTO;25993;-71.26319198;-16.56526461
DMERNT;4;AREQUIPA;401;AREQUIPA;40114;POLOBAYA;SI;PTOS NUEVOS;2008;11;NOVIEMBRE;25993;-71.27046184;-16.54857244
DMERNT;21;PUNO;2105;EL COLLAO;210505;CONDURIRI;SI;PTOS NUEVOS;2003;9;SETIEMBRE; ;-69.692928;-16.545857
DMERNT;4;AREQUIPA;401;AREQUIPA;40113;POCSI;SI;PTOS NUEVOS;2008;11;NOVIEMBRE;25993;-71.3108175;-16.52725246
